,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
144,144,144,97010661,206,276506,4589,KishiNobuo,岸信夫（きしのぶお）,自由民主党,1,0.0,60.0,0.0072463768115942,0.4810606060606061,0.095,57.0,0.0075757575757575,0.5277777777777778,3.0,0.0,0.0,0.0,0.0,0.0
145,145,145,116382669,326,23319,3332,kihara_seiji,木原誠二（きはらせいじ）,自由民主党,1,0.0,39.0,0.0083333333333333,0.2058823529411764,0.1490138787436083,3.0,0.0,0.0,34.0,0.0092592592592592,0.2333333333333333,2.0,0.0,0.0
146,146,146,107377567,208,17586,4999,kihara_minoru,木原稔（きはらみのる）,自由民主党,1,0.0,40.0,0.0208333333333333,0.1428571428571428,0.48,24.0,0.0,0.3333333333333333,16.0,0.0,0.0,0.0,0.0,0.0
147,147,147,116654430,97,5290,12298,kunisadaisato,国定勇人（くにさだいさと）,自由民主党,1,0.0,53.0,0.0128205128205128,0.4133333333333333,0.4995918367346939,17.0,0.0151515151515151,0.6666666666666666,18.0,0.0119047619047619,0.25,18.0,0.0,1.0
148,148,148,910357705260519424,339,3071,3425,ayano_kunimitsu,国光あやの（くにみつあやの）,自由民主党,0,0.0,76.0,0.0234567901234567,0.358974358974359,0.3829344432882413,46.0,0.0,0.4824561403508771,16.0,0.032051282051282,0.0303030303030303,14.0,0.0,1.0
149,149,149,104388107,748,2652335,27053,konotarogomame,河野太郎（こうのたろう）,自由民主党,1,0.0,86.0,0.0824239417989418,0.3462121212121212,0.3481882548937942,38.0,0.0379818594104308,0.2456140350877192,11.0,0.0277777777777777,0.3333333333333333,37.0,0.0,0.761904761904762
150,150,150,113515840,3067,5109,7068,kokubkonosuke,國場幸之助（こくばこうのすけ）,自由民主党,1,0.0,410.0,0.0655555555555555,0.3506646030920077,0.4904142011834319,185.0,0.0252777777777777,0.3099463923500435,140.0,0.0059523809523809,0.2201499118165784,85.0,0.0181159420289855,0.6984126984126984
176,176,176,2900209645,127,2045,2618,gaku_hasegawa,長谷川岳（はせがわがく）,自由民主党,1,0.0,22.0,0.0,0.3181818181818182,0.2975206611570247,18.0,0.0,0.4,4.0,0.0,0.0,0.0,0.0,0.0
178,178,178,301917412,158,2321,6909,FujikawaSangiin,藤川政人（ふじかわまさひと）,自由民主党,1,0.0,71.0,0.0,0.3659090909090909,0.5,28.0,0.0,0.4047619047619047,28.0,0.0,0.4545454545454545,15.0,0.0,0.7857142857142857
179,179,179,1198120518055890944,125,1494,3582,t_funahashi1020,船橋利実（ふなはしとしみつ）,自由民主党,0,0.0,11.0,0.0416666666666666,0.0,0.396694214876033,8.0,0.0476190476190476,0.0,3.0,0.0,0.0,0.0,0.0,0.0
180,180,180,1159324285116112896,279,4106,1136,89314honda,本田顕子（ほんだあきこ）,自由民主党,0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
181,181,181,137884361,16310,138706,11500,miharajunco,三原じゅん子（みはらじゅんこ）,自由民主党,0,8.0,228.0,0.0663888888888889,0.3282482842827671,0.455728732897085,72.0,0.0108695652173913,0.2393939393939394,133.0,0.0348932676518883,0.3218537414965986,23.0,0.0138888888888888,0.7
182,182,182,126163850,2100,3904,1444,miyakeshingo,三宅伸吾（みやけしんご）,自由民主党,1,0.0,780.0,0.1740057817998994,0.4746957797667736,0.498572344268982,310.0,0.0455555555555555,0.5544334975369458,345.0,0.0836772486772486,0.4031600180420507,125.0,0.0115384615384615,0.7093333333333334
183,183,183,156523315,700,53283,20506,morimasakosangi,森まさこ（もりまさこ）,自由民主党,0,18.0,185.0,0.0433333333333333,0.2781609195402298,0.49474030243261,70.0,0.0124999999999999,0.1913043478260869,86.0,0.0243589743589743,0.3034285714285714,29.0,0.0,0.5714285714285714
184,184,184,143363512,3033,106164,21035,yamadataro43,山田太郎（やまだたろう）,自由民主党,1,15.0,667.0,0.1430801362380309,0.400192481170444,0.4144554589726267,446.0,0.0748765432098765,0.3778706177515828,185.0,0.0134099616858237,0.4274659863945578,36.0,0.0,0.5416666666666667
185,185,185,1669900392,125,201853,4541,yamazogaikuzo,山田宏（やまだひろし）,自由民主党,1,0.0,73.0,0.0189393939393939,0.6291666666666667,0.3598615916955018,13.0,0.0,0.125,4.0,0.0,0.0,56.0,0.0119047619047619,0.7982456140350878
187,187,187,1351036968,1897,4365,1607,YoshikawaYuumi,吉川ゆうみ（よしかわゆうみ）,自由民主党,0,1.0,239.0,0.0535714285714285,0.3232242852932507,0.0953764815041753,227.0,0.0507936507936507,0.350646288577323,12.0,0.0,0.1666666666666666,0.0,0.0,0.0
188,188,188,820835025444687872,603,3167,2573,w_youhei,若林洋平（わかばやしようへい）,自由民主党,1,3.0,160.0,0.0269444444444444,0.2784967905657561,0.486796875,67.0,0.0132275132275132,0.1858974358974359,93.0,0.0,0.3769557823129252,0.0,0.0,0.0
189,189,189,1426888136,8516,288575,6345,wadamasamune,和田政宗（わだまさむね）,自由民主党,1,2.0,243.0,0.0155555555555555,0.1525681693785141,0.2053683648697508,213.0,0.0189655172413793,0.1710350165707308,28.0,0.0,0.0625,2.0,0.0,0.0
190,190,190,75239976,883,78179,47645,otokita,音喜多　駿おときた　しゅん,日本維新の会,1,44.0,556.0,0.1051984126984126,0.3700240254796954,0.4983437710263443,294.0,0.084265873015873,0.3533334481610344,262.0,0.01,0.3892384435487884,0.0,0.0,0.0
191,191,191,76031812,11,16991,5388,asalogue,浅田　均あさだ　ひとし,日本維新の会,1,0.0,3.0,0.0,0.0,0.4444444444444444,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
192,192,192,136122182,518,14725,10239,toru_azuma,東　とおるあずま　とおる,日本維新の会,1,1.0,309.0,0.1071457431457431,0.4080293269948441,0.4952230199559048,60.0,0.0322250639386189,0.231060606060606,73.0,0.0,0.1533333333333333,176.0,0.034282065316548,0.5795068027210883
193,193,193,412247742,949,5458,5734,d_katayama1006,片山　大介かたやま　だいすけ,日本維新の会,1,0.0,310.0,0.1251707551707551,0.4351585196412783,0.3886733756863627,170.0,0.0700172532781228,0.3056923918992885,61.0,0.0,0.6929824561403509,79.0,0.0092592592592592,0.6852564102564103
194,194,194,552605944,328,5870,1415,CoTakayuki,清水　貴之しみず　たかゆき,日本維新の会,1,0.0,57.0,0.0203703703703703,0.372463768115942,0.2893197907048321,47.0,0.0232804232804232,0.4421052631578948,10.0,0.0,0.4,0.0,0.0,0.0
196,196,196,126533936,674,24783,6827,yanagase_ootaku,やながせ　裕文やながせ　ひろふみ,日本維新の会,1,0.0,431.0,0.1287779812779812,0.4727835551872062,0.1090559444174481,293.0,0.0856613756613756,0.4374359357117977,18.0,0.0,0.0,120.0,0.0119047619047619,0.6691358024691358
197,197,197,183185693,5784,24579,15166,ihayoichi,伊波　洋一,その他,1,13.0,472.0,0.2260297748988225,0.4361345179009875,0.4663497229610474,284.0,0.1133259061200237,0.4283121093465922,167.0,0.0804858934169279,0.4378117913832199,21.0,0.0,0.7692307692307693
198,198,198,235547108,2001,494137,33165,yamamototaro0,山本太郎,その他,1,0.0,742.0,0.30448782942204,0.4175529909173792,0.4728949044496632,368.0,0.1304986197377501,0.3503725680449818,229.0,0.1189868149279914,0.3718664477285166,145.0,0.0128205128205128,0.6550925925925927
199,199,199,134810781,3001,28871,9259,t_takai,高井たかし,その他,1,7.0,533.0,0.1551380253059489,0.3371256222929651,0.3699295172658505,122.0,0.0638983664185277,0.2179653679653679,376.0,0.0843159806295399,0.342240518102587,35.0,0.0,0.6568627450980393
200,200,200,61324547,362,21567,7134,kushibuchi,くしぶち万里,その他,0,28.0,338.0,0.0496825396825396,0.5193150719012787,0.4598239196478393,163.0,0.0405555555555555,0.4642857142857142,91.0,0.0052083333333333,0.5840579710144926,84.0,0.0,0.7817460317460316
201,201,201,77208119,1481,518062,264165,s_hakase,水道橋博士,その他,1,2.0,689.0,0.2794707037601774,0.4640937895932768,0.4749881270051694,331.0,0.1114670514670514,0.3634974671485828,210.0,0.0518650793650793,0.5265263472160023,148.0,0.0162698412698412,0.672824302134647
202,202,202,1220873561067286528,1134,3764,3346,tokunaga_eri,徳永エリ,立憲民主党,0,8.0,892.0,0.3383155270073377,0.3903272227666065,0.3670933058751692,210.0,0.098313492063492,0.3343496541772404,657.0,0.2637856917631895,0.4014752484742877,25.0,0.0234375,0.7142857142857143
203,203,203,2810906078,526,4292,1824,TeamYokosawa,横沢たかのり,立憲民主党,1,5.0,297.0,0.0748596671307729,0.5200801153794851,0.3391623969703718,105.0,0.016025641025641,0.3134444444444444,29.0,0.0,0.3461538461538461,163.0,0.0178571428571428,0.7358024691358025
204,204,204,170302283,385,69663,5175,norinotes,石垣のりこ,立憲民主党,0,6.0,481.0,0.1463130142339067,0.4215249376733844,0.4614576604748595,260.0,0.0505185185185185,0.397023187540429,147.0,0.0413793103448275,0.3879715522572666,74.0,0.0,0.5726666666666668
205,205,205,2309473520,5025,6144,2575,KumagaiHiroto,熊谷裕人,立憲民主党,1,0.0,252.0,0.0488247863247863,0.3812018441328786,0.4536862003780718,150.0,0.0282738095238095,0.2929453262786596,80.0,0.0185185185185185,0.5576923076923077,22.0,0.0,0.5909090909090909
206,206,206,158683595,749,2597,3354,TakagiMari,高木真理,立憲民主党,0,2.0,554.0,0.1611659356725146,0.3816652298646773,0.3980495239113797,397.0,0.0378669639539204,0.4048713738368911,150.0,0.1159848484848484,0.3547345374931581,7.0,0.0,0.75
207,207,207,116097539,3510,63776,18332,konishihiroyuki,小西洋之,立憲民主党,1,6.0,1008.0,0.3889069118507781,0.4285398091656713,0.4931545120270764,463.0,0.1816958966958967,0.3432675111681196,366.0,0.2105654983984276,0.5037239781795136,179.0,0.0911371366728509,0.6125661375661374
208,208,208,142892210,1145,4944,1728,makiyama1192,牧山ひろえ,立憲民主党,0,0.0,230.0,0.0836706349206349,0.4206933870726974,0.4108641975308642,128.0,0.0247126436781609,0.3333333333333333,52.0,0.0416666666666666,0.5185185185185185,50.0,0.0,0.753968253968254
209,209,209,1132818634781351936,1279,4031,3534,spacemom2019,水野素子,立憲民主党,0,20.0,551.0,0.1693514737680577,0.3055711543064924,0.4448470196079722,367.0,0.1373205526025074,0.3341597603848058,184.0,0.0208333333333333,0.2605102751654475,0.0,0.0,0.0
213,213,213,134408900,1157,14838,6817,maiko_tajima,田島麻衣子,立憲民主党,0,4.0,999.0,0.3473596454532031,0.4203783361321223,0.196457708624522,717.0,0.3179158967394261,0.3853432888791492,89.0,0.0112179487179487,0.3719246031746032,193.0,0.0222222222222222,0.5782430213464695
214,214,214,107039196,967,91728,13079,fuku_tetsu,福山哲郎,立憲民主党,1,12.0,807.0,0.2520256875882731,0.4226773766466488,0.2643907434049425,554.0,0.199686095448994,0.359669823077531,103.0,0.0096153846153846,0.4657142857142857,150.0,0.0166666666666666,0.72851966873706
215,215,215,1431843379,264,2334,1772,Morimoto_Shinji,森本真治,立憲民主党,1,0.0,267.0,0.0805856595511767,0.5036080457824155,0.3529158287848318,91.0,0.016,0.371412037037037,27.0,0.0125,0.4583333333333333,149.0,0.0179487179487179,0.6902281746031745
216,216,216,175683367,2705,28930,8227,KawadaOffice,川田龍平,立憲民主党,1,2.0,933.0,0.34379613107736,0.4487501658031546,0.3462698554985837,649.0,0.2059571038982803,0.4456409382759868,186.0,0.0827777777777777,0.2994700701597253,98.0,0.0114942528735632,0.7321428571428571
217,217,217,1576344674,367,6885,6654,tadatomoyoshida,吉田忠智,立憲民主党,1,0.0,327.0,0.1188447971781305,0.4772086655026764,0.4278794206558293,198.0,0.0956643930781861,0.3868066457352173,89.0,0.0154320987654321,0.5147435897435897,40.0,0.0,0.9583333333333334
218,218,218,218154152,9496,19739,10430,ishikawataiga,石川大我,立憲民主党,1,11.0,1090.0,0.268750581260172,0.3837898912395386,0.2672722508516028,900.0,0.1846895424836601,0.4226937861435764,170.0,0.0629355956942163,0.2291576479076478,20.0,0.0,0.5
219,219,219,936399828006748160,357,2912,8817,kishimakiko_j,岸真紀子,立憲民主党,0,19.0,209.0,0.095086822947973,0.3697096964338344,0.1932587541556456,181.0,0.0657936507936507,0.3740695128626163,22.0,0.0509641873278237,0.4523809523809524,6.0,0.0,1.0
220,220,220,947160325,4124,11386,7716,aoki12ku,青木愛,立憲民主党,0,0.0,639.0,0.3159725065470841,0.2985146961091675,0.2661533450398092,538.0,0.2719159961161134,0.290197899434767,101.0,0.0268518518518518,0.3954022988505747,0.0,0.0,0.0
221,221,221,47099876,566,3971,1938,ishibashi2010,石橋通宏,立憲民主党,1,0.0,488.0,0.1453706347470649,0.4726234937662312,0.3915855719363674,288.0,0.0497222222222222,0.4274504231400784,105.0,0.0261494252873563,0.5369047619047619,95.0,0.0102564102564102,0.6916666666666665
222,222,222,1326750890590564352,450,2632,1042,kogachikage,古賀千景,立憲民主党,1,5.0,154.0,0.0347439916405433,0.2581439393939393,0.3292292123460953,122.0,0.0272988505747126,0.2770691609977324,32.0,0.0078125,0.238095238095238,0.0,0.0,0.0
223,223,223,244064532,932,97220,3259,tsujimotokiyomi,辻󠄀元清美,立憲民主党,0,9.0,1129.0,0.2899703983019682,0.4574943733100209,0.3616372838808024,232.0,0.0349206349206349,0.3805829228243021,747.0,0.2016515403614945,0.4459981275263648,150.0,0.0297619047619047,0.6296296296296295
225,225,225,114672086,4609,11495,4488,gagomeyokoyama,横山　信一 ,その他,1,1.0,388.0,0.1685093508429421,0.3924472935815948,0.3446654125235151,190.0,0.1123490978883135,0.1776308374486512,54.0,0.0,0.1407407407407407,144.0,0.0458333333333333,0.7447530864197531
226,226,226,119728645,1057,3896,4126,hidemichisato,佐藤　英道 ,その他,1,0.0,553.0,0.3294387568852183,0.4812649118750324,0.1515896786552055,322.0,0.265826942700664,0.4271250779871469,29.0,0.0,0.1666666666666666,202.0,0.0185185185185185,0.6934542469025228
227,227,227,1412155238,23,4437,1163,ken_wakamatsu,若松　謙維 ,その他,1,0.0,4.0,0.0,0.5,0.375,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
228,228,228,99624247,449,19098,3900,m_nishida,西田　実仁 ,その他,1,0.0,59.0,0.0422619047619047,0.2355889724310776,0.4102269462798047,42.0,0.0486111111111111,0.3377777777777778,17.0,0.0,0.0555555555555555,0.0,0.0,0.0
229,229,229,302952492,2893,13863,4148,Yakura_Katsuo,矢倉　克夫 ,その他,1,0.0,691.0,0.1988442363707191,0.3889156116590193,0.4536421549220517,209.0,0.1273791571598985,0.2847774966132454,392.0,0.0381979458450046,0.4919092401851023,90.0,0.0092592592592592,0.5989010989010988
230,230,230,941288761,216,9870,5709,Hiraki_Daisaku,平木　大作 ,その他,1,2.0,166.0,0.0469047619047619,0.4616858237547891,0.328180737217598,46.0,0.0151515151515151,0.3309523809523809,12.0,0.0,0.0833333333333333,108.0,0.012,0.7202898550724636
231,231,231,285494136,1062,54935,3828,yamaguchinatsuo,山口　那津男 ,その他,1,2.0,243.0,0.0722953216374269,0.3351083429577077,0.4856804733727811,76.0,0.0463980463980463,0.1607142857142857,54.0,0.012,0.0666666666666666,113.0,0.0,0.6
232,232,232,108897713,5670,30800,17258,t_takeya,竹谷　とし子 ,その他,0,4.0,664.0,0.1359772009599596,0.3960982391509774,0.4965411969815443,237.0,0.108762154442667,0.2436397872492325,280.0,0.0377777777777777,0.6189655172413794,147.0,0.0,0.6362244897959183
233,233,233,1567043516,3138,22586,4313,okamoto3nari,岡本　三成 ,その他,1,1.0,354.0,0.1292578659369277,0.2883530741289362,0.2208371913047082,235.0,0.0894919432419432,0.1717909269805508,34.0,0.0196078431372548,0.2111111111111111,85.0,0.0108695652173913,0.7166666666666666
234,234,234,810830731,171,20705,1751,sayaka_sasaki,佐々木　さやか ,その他,0,3.0,116.0,0.0486111111111111,0.5388888888888889,0.4917817225509533,22.0,0.0,0.4230769230769231,17.0,0.0138888888888888,0.0,77.0,0.0104166666666666,0.8219696969696969
