,Unnamed: 0,Unnamed: 0.1,id,public_metrics.following_count,public_metrics.followers_count,public_metrics.tweet_count,username,name,party,gender,politician_attention,total_number,total_unity,total_commitment,diversity,woman_number,woman_unity,woman_commitment,man_number,man_unity,man_commitment,media_number,media_unity,media_commitment
64,64,64,108607334,187,8164,7829,ochiaitakayuki,落合貴之,立憲民主党,1,1.0,70.0,0.0,0.3680555555555555,0.4081632653061224,20.0,0.0,0.2083333333333333,50.0,0.0,0.4916666666666666,0.0,0.0,0.0
65,65,65,279935870,659,69626,6108,nagatsumaakira,長妻昭,立憲民主党,1,6.0,547.0,0.194561518919104,0.4136315763344161,0.4998959874260354,205.0,0.0812962962962963,0.3445539135194307,211.0,0.0402380952380952,0.3954184704184704,131.0,0.0267460317460317,0.5349753694581281
66,66,66,220899254,5611,15711,7065,YoshidaHarumi,吉田はるみ,立憲民主党,0,5.0,990.0,0.3686162047155962,0.4151183357524854,0.3783257932079082,669.0,0.2839514806181472,0.3813098196349875,227.0,0.0801108374384236,0.4217970521541949,94.0,0.0144032921810699,0.6506410256410255
67,67,67,786570426696675328,876,2196,1437,20161023yousuke,鈴木庸介,立憲民主党,1,0.0,599.0,0.3051594269257312,0.3794691321052019,0.4978804406899646,280.0,0.1755683278709594,0.3533015356291217,319.0,0.0873400673400673,0.4370355697941905,0.0,0.0,0.0
68,68,68,151223826,11,86300,5280,NaotoKan,菅直人,立憲民主党,1,0.0,7.0,0.0,0.75,0.2448979591836735,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
69,69,69,2439084283,813,3353,1305,9999suematsu,末松義規,立憲民主党,1,2.0,601.0,0.2277823796573796,0.4283435494733136,0.4836596515664846,179.0,0.0337301587301587,0.3792145593869732,258.0,0.1195436507936507,0.3519791511170821,164.0,0.0193452380952381,0.6835390946502058
70,70,70,960433527064952832,1125,4221,1485,Waku2_ookawara,大河原まさこ,立憲民主党,0,4.0,980.0,0.2946081799325588,0.4899845051990538,0.3741413877551021,218.0,0.0597354497354497,0.5629459620838931,657.0,0.1776195315524583,0.4406268016410005,105.0,0.0211538461538461,0.6743055555555556
71,71,71,506088580,10941,12321,2176,shun76450,伊藤俊輔,立憲民主党,1,0.0,677.0,0.2268261130423799,0.318267491071124,0.3163172309305986,526.0,0.1424943909383268,0.318501970758563,129.0,0.0547008547008546,0.2484920634920635,22.0,0.0,0.8636363636363636
72,72,72,1054243609,625,19704,2588,chinami_niigata,西村智奈美,立憲民主党,0,6.0,803.0,0.1740664658507796,0.4658388703273614,0.3113887631406871,569.0,0.1027763318552792,0.4417644464831398,136.0,0.0181818181818181,0.4117772108843538,98.0,0.01,0.741304347826087
73,73,73,84782143,556,103394,29040,RyuichiYoneyama,米山隆一,立憲民主党,1,36.0,114.0,0.0185185185185185,0.3942307692307692,0.4555247768544167,74.0,0.0,0.3285024154589372,40.0,0.0219298245614035,0.5185185185185185,0.0,0.0,0.0
74,74,74,202124076,1043,1452,1775,umetani_m,梅谷守,立憲民主党,1,1.0,242.0,0.0571560846560846,0.4763136288998358,0.375,84.0,0.0148809523809523,0.3692239858906525,28.0,0.0,0.4375,130.0,0.0107142857142857,0.6092592592592593
